恒安(中国)投资有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,恒安珍宝投资有限公司(持股100%),综合类行业,外商独资企业,5/10,产业,我国最大的生活用纸和妇幼卫生用品制造商，港股上市公司恒安国际的国内运营主体，规模和品牌优势明显，财务状况较好。,,造纸,我国造纸行业竞争激烈，但环保等政策趋严有利于行业龙头企业的发展。,外商独资企业，系香港上市公司恒安国际的国内运营主体，有一定的外部融资渠道。,公司是国内规模最大的生活用纸和妇幼卫生用品制造商，在国内生产用纸方面具有较好的品牌知名度和市场占用率。2015~2017年，公司分别实现营业收入186.37亿元、194.88亿元和198.52亿元，净利润分别为28.52亿元、28.73亿元、30亿元，经营净现金流分别为33.52亿元、34.22亿元、43.20亿元。公司未涉足上游造纸造浆产业，在原材料采购方面较为依赖国外供应商，存有一定经营风险。,公司负债率适中，利润和经营净现金流入对公司有息债务的覆盖尚可。公司与关联方资金往来较多，需关注相关风险。,短期债务压力、关联方资金往来风险等
万华实业集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,烟台国丰投资控股有限公司(持股39.5%),特种化工,地方国有企业,5/10,产业,-,,化学制品,-,-,-,-,-
冀中能源集团有限责任公司,AAA 展望:稳定,东方金诚国际信用评估有限公司,河北省国资委(持股100%),煤炭与消费用燃料,地方国有企业,5/10,产业,地方国企，具有一定的区域重要性，煤炭业务具备外部支持基础。区域内环保限产严重。,,煤炭开采,受供给侧改革的影响，目前煤炭行业景气度较好，短期内预计仍有一定持续性。,河北省国资委100%持股企业，母公司为非上市公司，但其旗下拥有3家A股上市公司，分别为冀中能源、金牛化工和华北制药。,公司系河北省最大的煤炭企业，煤种齐全，具有一定的规模和竞争优势。公司非煤产业涉及物流、化工、医药等，从毛利润占比来看，物流和医药占比较大。公司物流贸易产品以钢材、化工为主，该业务毛利率低，靠规模取胜。医药主要由华北制药运营，持股比例不高；华北制药是我国最大的抗生素生产基地之一，受国内限用抗生素政策以及环保政策的影响，经验效益有所波动。,公司负债率略高，主业盈利状况不佳，经营净现金流也表现较差，对有息债务的覆盖严重不足。截止2019年3月底，负债率水平较高，达82.4%的高位。,煤炭行业景气度；环保限产；国内限抗生素政策的变化；华北制药厂地搬迁对生产经营的影响。
云南省铁路投资有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,云南省投资控股集团有限公司(持股75.23%),建筑与工程,地方国有企业,5/10,产业,-,,建筑工程,-,-,-,-,-
广西建工集团有限责任公司,AAA 展望:稳定,东方金诚国际信用评估有限公司,广西壮族自治区国有资产监督管理委员会(持股100%),建筑与工程,地方国有企业,5/10,产业,广西省级建工企业，近年规模发展迅速，但财务杠杆偏高，关注债务压力。,,建筑工程,建筑行业竞争充分，与地产和基建行业关联度高，未来地产以及基建面临下滑，建筑行业承压；存在安全施工风险；垫资普遍，行业负债率较高，资金压力均较大。,公司是广西国资委下属建筑企业，近年发展迅速。,公司拥有建筑工程和市政工程施工总承包特级资质及多项专业承包一级资质，在广西省具有区域竞争优势，建筑安装施工类订单承接能力增强，新签订单规模增长；公司拓展房地产开发业务，近年发展较快，部分在建房地产项目位于杭州、 海南琼海等楼市调控热点城市，关注去化压力。,公司发展较快，财务规模迅速提升，但单位成本增加导致毛利率下滑；承接项目规模提升，资金支出压力持续较大；负债率水平较高，资金垫付压力大，债务压力很大。,资金垫付、债务压力
黑龙江北大荒农垦集团总公司,AAA 展望:稳定,联合资信评估有限公司,中华人民共和国财政部(持股100%),综合类行业,中央国有企业,5/10,产业,控股股东变更为财政部，控股上市公司北大荒，关注政策影响。,,农业综合,农业是我国国民经济的基础产业，农业行业受到国家农业供给侧改革、自然天气等条件的影响较大。,公司近期股东发生变更，由黑龙江农垦总局变更为财政部。子公司北大荒农业股份有限公司（600598.SH）2002年在上海证券交易所上市，公司持股64.14%。,"公司拥有农、工、贸、商一体化产业链；截至17年末，拥有耕地4,000万亩，垦区粮食产量较大；农产品销售通过支付现金向农户集中收购，再销售各级储备粮粮库（40%）、各龙头加工企业（40%）、其他渠道（20%）。农业加工和商贸物流规模尚可，进口业务汇兑风险。建筑工程板块资金占用大。",资产规模大，但应收和存货存在减值风险；负债水平很高，债务负担很重；盈利较弱，2017年净利润扭亏；现金流紧张，资本支出规模较大，债务压力提升。资金被关联方大量占用，债券融资规模低于银行借款，但也存在滚动发行压力。2013年、2014年审计报告带有保留意见的风险。,财务质量、气候影响、减值风险
上实环境水务股份有限公司,AA 展望:稳定,上海新世纪资信评估投资服务有限公司,上实联合水务控股有限公司(持股60.4%),水务,地方国有企业,5/10,产业,-,,水务,-,-,-,-,-
中铁十六局集团有限公司,AA+ 展望:稳定,东方金诚国际信用评估有限公司,中国铁建股份有限公司(持股100%),建筑与工程,中央国有企业,5/10,产业,公司为中铁建旗下重要子公司之一，具有一定行业地位，但财务稳健型不佳。,,建筑工程,受地产行业以及基建被压制，建筑行业近年承压。,央企子公司，中铁建旗下全资子公司。,公司为建筑企业，施工项目以铁路、公路、城市轨道、 房屋建筑、水利水电为主，依托强大的股东背景以及较好的建筑资质，施工项目相对稳定，进而带动收入规模增长，但利润空间较薄，17年净利润出现大幅度下滑。,典型的建筑企业财务报表，资产质量和盈利能力一般，负债率很高，截至18年3月末为84.57%；盈利空间较薄，17年出现波动；在手项目充足，但也带来较大资金压力。,债务压力
国电科技环保集团股份有限公司,AA+ 展望:稳定,联合信用评级有限公司,中国国电集团公司(持股39.21%),重型电气设备,中央国有企业,5/10,产业,-,,专用设备,-,-,-,-,-
苏州创元投资发展(集团)有限公司,AA 展望:稳定,中诚信国际信用评级有限责任公司,苏州市人民政府国有资产监督管理委员会(持股100%),综合类行业,地方国有企业,5/10,产业,作为老牌国企，拥有较大价格低廉的土地资产，且银行未使用授信较多，违约风险不大。但公司主业盈利能力弱，经营效益稳定性欠佳。,,综合,苏州市下属产业投资平台，涉及制造业、房地产业、贸易业和服务业多个领域，苏州良好的经济环境为公司提供了较好的发展环境。,公司为苏州国资委全资持股，政府通过土地增资等形式支持公司发展。下属创元科技（000551）位上市公司，公司对其控股35%（无受限情况），其总市值20亿，规模较小。,公司业务范围较多。公司生产制造的悬式绝缘子以及高铁、轨道交通用棒形绝缘子，在行业内具有生产技术优势；洁净环保设备业务主要从事空气净化设备及空气过滤器，气体分离及净化设备等，目前在中高级别领域综合生产安装规模位居全国前列；滚针轴承产品主要应用于汽车、家用电器、电动工具、工程机械和国防工业等领域，基本保持稳定；公司光机电测绘仪器主导产品为全站仪、经纬仪和水准仪等，市场占有率约25%。现代服务业包括综合物业开发租赁、酒店经营管理以及贸易与服务等，以及苏州周边地区的部分房地产开发业务；公司在汽车板块的发展定位为大型客车、新能源客车、轻型客车（含皮卡）和客车运营监控管理系统的提供商。2017 年，受苏州金龙被处罚并整改事件影响， 苏州海格当期电控系统销售数量和销售收入出现较大下滑，公司当期对金龙客车的投资收益也亏损7亿元；此外，11年起经市政府批准，公司原所述375亩土地未来将陆续上市拍卖，拍卖净收益的90%划归公司。,公司主业盈利能力偏弱，主要依赖投资收益和补贴补充盈利。经营效益稳定性欠佳。至18年6月公司总债务15亿，短期债务12亿。鉴于未使用授信达到25亿，整体信用风险不大。,业务领域众多，协同性差，主业盈利能力弱，依赖投资收益。





广西水利电业集团有限公司,AA+,中诚信国际信用评级有限责任公司,广西农村投资集团有限公司(持股100%),电力,地方国有企业,5/10,产业,公司是广西壮族自治区政府批准成立的经营农网改造项目的授权主体，但资本支出压力较大。,,电力,电力行业发展相对稳定。,控股股东为广西农村投资集团有限公司，最终实际控制人为广西壮族自治区国资委。,公司是广西壮族自治区政府批准成立的经营农网改造项目的授权主体，担负着40个县（市、区）的农网建设和改造任务，资本支出压力大。近年收购了14家供水公司，新建、收购了装机容量约70万千瓦的水电站，不断获得广西壮族自治区财政厅划拨的农网还贷基金支持。外来仍有较大的资本支出压力。,公司财务规模快速增长，但举债扩张，负债率很高。随着规模扩张，收入提升，但盈利仍依赖补贴，关注稳定性。农网改造业务的资本支出压力仍很大。,或有负债、资本支出压力、政府支持的持续性
深圳市龙岗区投资控股集团有限公司,AA 展望:稳定,大公国际资信评估有限公司,深圳市龙岗区人民政府(持股100%),多领域控股,地方国有企业,5/10,产业,-,,,-,-,-,-,-
北控清洁能源集团有限公司,AA+ 展望:稳定,联合信用评级有限公司,-,电力,地方国有企业,5/10,产业,公司为北控水务旗下的清洁能源板块，近年受政策支持，快速发展；关注政策风险和债务压力。,,,国家大力支持节能与环保产业发展，清洁能源、污水处理等行业未来有较大发展空间。我国光伏发电行业区域集中度高，由于前期大幅扩张导致了产能阶段性过剩，电网接纳能力、高压电线输送能力的不足的问题也制约了光伏发电行业的稳定发展，行业产能过剩的消化仍需时间。,公司为港股上市国企（股票代码：北控清洁能源集团1250.HK），截至2017年底，FastTopInvestmentLimited为公司控股股东，持股31.88%。公司实际控制人为北京市国资委。,2015年，公司主营业务由销售卷烟包装向承建及运营光伏电站转变，2018年1月卷烟包装业务已出售剥离，目前光伏发电业务收入占比在89%以上。光伏电站以“自主投资开发电站+承接外部EPC项目”并行的方式进行。截止2017年底，公司所持有或联合开发的集中式光伏电站项目共有48个，总容量约2200MWp，其中43座集中式光伏发电站已投入营运，并网容量达到1784MWp，主要分布于河北省、安徽省、河南省、山东省、陕西省等11省份和2个自治区。2016-2017年，公司光伏并网发电量分别为22.2万兆瓦时和140.09万兆瓦时。截至2017年底，公司在建光伏发电项目预计总投资约人民币31.57亿元，已投资人民币10.1亿元，仍需投资人民币21.47亿元。另有少量风电项目。,公司资产快速增长但规模较不大，流动性一般；截至2017年底，公司受限资产占比28.70%。公司负债水平高、债务负担重，债务结构较合理：资产负债率74.99%，有息负债184.21亿港元，长期债务占比81%。随着公司收购与经营规模扩大，公司营业收入和利润规模大幅增长，盈利能力快速提升。公司仍处于扩张期，资金压力仍大。,清洁能源政策风险、债务压力
华融晋商资产管理股份有限公司,AAA,联合资信评估有限公司,北京华融晋商投资中心(有限合伙)(持股51%),-,-,5/10,产业,-,,,-,-,-,-,-
江苏连云港港口股份有限公司,AA 展望:稳定,中诚信证券评估有限公司,连云港港口集团有限公司(持股48.53%),海港与服务,地方国有企业,5/10,产业,连云港港运营平台，上市公司，尽管主业盈利能力较弱，但外部支持能力较强，流动性风险不大。,,港口,受宏观经济不景气的影响，港口经济持续下滑；但优质港口的天然优势难以取代。,地方上市国企，股票代码：连云港601008.SH；连云港港口集团有限公司控股53.07%，实际控制人为连云港市国资委。,公司主要提供港口货物的装卸、堆存及港务管理等服务，港口产品以金属矿石和煤炭为主，拥有25万吨级航道，生产性泊位超过28个，最大散货泊位10万吨级；港口经济腹地条件较好，但周边港口较多，形成一定竞争。,公司规模一般，盈利持续下滑，一直处理微利状态；经营性现金流持续较弱，在建扩建港口工程导致投资支出较大，主要依赖筹资；负债率持续攀升，但水平尚可。整体看连云港体系下的系列发行人，债务主要集中于集团母公司，综合看该港口债务负担较重。,债务负担、区域竞争
中建西部建设股份有限公司,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,中建新疆建工(集团)有限公司(持股31.43%),建材,中央国有企业,5/10,产业,-,,水泥制造,-,-,-,-,-
内蒙古中电物流路港有限责任公司,AA+ 展望:稳定,联合资信评估有限公司,国家电投集团物流有限责任公司(持股75%),铁路运输,中央国有企业,5/10,产业,-,,铁路运输,-,-,-,-,-
钱江水利开发股份有限公司,AA 展望:稳定,上海新世纪资信评估投资服务有限公司,中国水务投资有限公司(持股33.55%),水务,中央国有企业,5/10,产业,公司上市国企，业务主要系水务，具有一定公益性，覆盖浙江地区，关注集中兑付压力。,,水务,水务行业为典型的公共事业行业，我国水务行业企业有很强的地域特征，资产规模不高，资产流动性弱，信贷融资能力不强，需关注企业的集中兑付压力。,"公司为上市公司，股票代码：钱江水利/600283.SH,控股股东为中国水务投资有限公司，持股比例33.55%，实际控制人为水利部综合事业局。","公司是浙江省水利系统龙头企业，主要从事自来水的生产和供应，同时经营污水处理和市政自来水管道安装业务；总设计规模192万吨/日，日供水量约占浙江省总量的10%；自来水供应杭州、舟山、丽水、永康、兰溪、平湖、金西、安吉等地，2018年公司供水量37,357.00万吨，售水量34,752万吨。",财务规模不大，资产流动性不佳；受融资能力有限的影响，负债率水平不高；公司现金流情况较好，经营和投资基本持平，但在建项目和扩张冲动对资金仍有需求；公司集中兑付能力不强。,集中对付压力
骆驼集团股份有限公司,AA 展望:稳定,中证鹏元资信评估股份有限公司,刘国本(持股26.69%),电气部件与设备,民营企业,5/10,产业,-,,汽车零部件,-,-,-,-,-
江苏联发纺织股份有限公司,AA 展望:稳定,中证鹏元资信评估股份有限公司,江苏联发集团股份有限公司(持股40.45%),纺织品,民营企业,5/10,产业,-,,纺织制造,-,-,-,-,-
东江环保股份有限公司,AA+ 展望:稳定,中诚信证券评估有限公司,香港中央结算(代理人)有限公司(持股22.56%),环境与设施服务,地方国有企业,5/10,产业,-,,环保工程及服务,-,-,-,-,-
吉林省水务投资集团有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,吉林省吉盛资产管理有限责任公司(持股100%),电力,地方国有企业,5/10,产业,公司为吉林省水务融资平台，整体规模较弱，盈利能力不佳，公益性特征的重点工程持续获得财政资金支持，但需关注东三省企业的市场认可度情况。,,电力,在城市化和经济增长的持续推动下，我国水务市场容量不断增长；但公益性特征导致行业内企业盈利能力偏弱。,吉林省吉盛资产管理有限责任公司持有公司100%股权，实际控制人为吉林省国资委，吉林省水利厅对其进行行业管理。,公司主要负责省内重点水务建设项目投融资，从事水利水电工程项目开发建设和经营管理，并承担其运营范围内的国有资产保值增值。目前，公司现已形成吉林省东部地区发电供电、中部地区引水供水、西部地区节水灌溉三大产业板块，主营业务覆盖全省9个市（州）、多数县（市）。,资产规模较小，资产流动性一般；公司推进中部引水工程建设、并逐步实施当地农网建设和农网改造升级工程，负债规模增长较快：资产负债率57.35%（17930），中部引水工程拥有一定的财政资金支持，短期无实际偿债压力；发电供电业务为收入主要来源，但引水供水业务成本倒挂，公司盈利水平不佳；经营性现金无法满足投资需求，资金缺口除财政拨款外，主要依赖对外融资。,盈利较弱、财政资金到位力度、区域认可度
潍坊市投资集团有限公司,AA+ 展望:稳定,联合信用评级有限公司,潍坊市国资委(持股100%),多领域控股,地方国有企业,5/10,产业,潍坊市国有资产管理平台，资产质量好，负债率低，整体资质较好。,,综合,公司属国有资产管理平台，行业共性较小，关键看资产质量。,公司由潍坊市国资委全资控股，股东背景较强。,公司旗下子公司业务包括粮食销售、押运保安、建材销售、房屋租赁等，整体盈利能力不强，增长空间有限；公司主要资产为股权投资相关资产，资产质量较好，包括雷沃重工、潍柴动力、潍柴重机、潍坊港、山东国际信托等优质股权资产，股权投资的账面增值幅度亦较大。,公司主要资产为长期股权投资，负债规模不大（18年末负债率31%），现金流较平衡，财务结构稳健。,国有资产整合划转
福建省电子信息(集团)有限责任公司,AAA 展望:稳定,中诚信证券评估有限公司,福建省人民政府国有资产监督管理委员会(持股100%),通信设备,地方国有企业,5/10,产业,福建省属企业，拥有两家上市公司，整体盈利能力一般，母公司债务压力较大,,通信设备,未来电子行业仍处于快速发展时期，但国内电子信息产业核心技术不强，生产成本增长，利润空间压缩，行业受宏观经济环境下滑的影响逐步显现。,公司为非上市福建省属国有企业，唯一股东及实际控制人是福建省国资委，旗下2家控股公司为主板上市公司，分别是福建福日电子股份有限公司（600023.SH）和福建星网锐捷通讯股份有限公司（002396.SZ）。,公司主营业务为电子信息制造业务、贸易业务，制造类业务经营主体为旗下子公司，主要产品包括交换机、路由器、手机、LED显示屏等；贸易类业务盈利能力一般，资金占用较大；少量地产业务，主要位于福建省。,业务规模扩大，资产规模一般，公司举债扩充规模，负债不断攀升，财务杠杆持续攀升，考虑到公司负债来源以债券市场为主，未来集中兑付压力大。盈利能力一般，政府给予一定支持，公司经营和投资活动不能产生净的现金流入，资金缺口较大，主要依靠借款和融资维持现金流。,资金压力、偿债压力
中铝宁夏能源集团有限公司,AA 展望:稳定,联合资信评估有限公司,中国铝业股份有限公司(持股70.82%),电力,中央国有企业,5/10,产业,中国铝业控股子公司，业务涉及煤炭、火电、风电和光伏发电，目前负债率较高，债务压力大，信用资质一般，需关注新能源补贴下降对公司经营业绩的影响。,,电力,随着供给侧改革制度的持续推进，我国煤炭行业景气度持续改善，目前煤价维持高位，有利于煤炭企业信用资质的改善。煤炭价格的持续高位降低了火电企业的盈利能力。补贴的下降对光伏和风电行业影响较大。,公司控股股东为中国铝业股份有限公司，持有公司70.82%的股份。,"公司已形成以发电为主，煤炭、新能源设备制造为辅的业务板块，2016~2018年，公司实现营业收入分别为
 41.71亿元、56.24亿元，67.14亿元 呈快速增长趋势，净利润分别为3.06亿元、1.30亿元和3.61亿元。收入构成方面，2018年公司火力发电业务收入占比38.66%，煤炭产品36%，风力发电12.58%，光伏发电收入占比3.62%。随着煤价的上涨，2017年公司火力发电业务盈利能力较弱。公司风电业务主要位于陕西和宁夏，弃风限电较为严重，平均利用小时数较低。",公司负债率高，债务压力大，受限资产较多。,煤价走势、新能源补贴的变化，流动性压力
西安曲江文化控股有限公司,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,西安曲江新区管理委员会(持股99.9%),综合类行业,地方国有企业,5/10,产业,西安曲江新区文旅项目建设和运营主体，非上市公司，主业盈利能力弱，债务负担重。,,,西安旅游资源丰富，曲江新区定位为国家级文化产业示范区、西部文化资源整合中心、西安旅游生态度假区和绿色文化新城，该等行业环境为公司的发展创造了较好的条件。,国企非上市公司，西安曲江新区管委会直接持有公司99.9%的股份，系公司控股股东和实际控制人。公司作为曲江新区管委会直属的文化旅游产业发展和建设的国有企业，得到了政府的大力支持，2015~2017 年，公司分别获得政府补助4.16 亿元、4.30 亿元和1.37 亿元。,"公司主营业务覆盖文化旅游经营、文化产业项目、景区基础设施建设和房地产四大板块。2017 年，
公司实现营业总收入96.75 亿元，其中景区基础设施建设收入占比52.27%，文化旅游经营21.16%。房地产占比19.84%。景区基础设施建设方面，公司以代建管理费收入确认收入，截止2017年末公司在建项目预计总投资256.25亿元，已完成投资138.75亿元，后续资本支出压力仍较大。旅游经营方面，公司运营的收费景区包括大唐芙蓉园、曲江海洋极地公园、寒窑遗址公园、秦二世遗址公园、赵公明财神文化景区、道文化景区、延生观景区和化女泉景区，旅游经营收入近年收入持续增长。房地产业务方面，公司目前旗下拥有多个商品房项目，该等项目全部位于西安。","2015~2017 年，公司分别实现营业总收入89.42亿元、95.26 亿元和96.75 亿元，净利润分别为4.58亿元，10.10亿元和3.74亿元。总体而言，公司经营性业务盈利能力较弱，且盈利水平对投资收益和政府补助的依赖较大。
公司目前负债率高，18年9月末达77.99%，有息债务18年9月末余额520亿元，约近年盈利和经营净现金流水平对有息债务的覆盖倍数低，债务偿付压力较大。资产方面，公司其他应收款和应收账款规模巨大，前五名主要为政府部门或是事业担保，应收规模达250亿元，对公司资产形成了大额占用。",景区基础设施建设存货的资金回笼；其他应收款的回收，公司获取政府补助的可持续性；与华侨城的资产重组已终止。
旭辉集团股份有限公司,AAA 展望:稳定,联合信用评级有限公司,上海旭辉投资咨询有限公司(持股81.72%),房地产开发,民营企业,5/10,产业,公司为大型民营地产企业，业务偏激进，存在债务压力。,,房地产开发,地产行业政策仍不明朗，区域去化压力仍大；房产税等政策预期将对行业产生影响。,港股上市公司旭辉控股旗下地产主要运营平台，实际控制人为林中、林伟和林峰（三人为兄弟关系）。,地产业务遍布全国，区域去化有待考量，采用快速周转的开发运营模式，项目储备规模较大；在建地产项目资金需求很大；自持物业规模不大；地产开发策略偏激进，快速周转支撑运营，未来政策将对公司产生较大影响。,整体财务规模较大，但财务杠杆很高，18年6月末负债率81.98%；公司负债结构偏短，近几年集中对付压力很大；17年现金流大规模流出，资金压力很大；对外担保规模较大，存在或有负债风险；整体具有一定财务风险。,集中兑付压力、或有风险、
四川省有线广播电视网络股份有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,其他(持股53.46%),有线和卫星电视,地方国有企业,5/10,产业,公司是四川省有线电视区域垄断国企，历史经营和财务表现稳定，但主业日益受到新媒体冲击，新开展的宽带业务竞争激烈，盈利增长能力不乐观；,,文化传媒,随着三网融合业务的全面推广，电信运营商IPTV业务及网络视频等逐步加剧了市场竞争，并且现代新媒体的快速发展也使四川有线的有线电视业务面临进一步挑战。不过公司主要负责四川省内市场，有一定区域垄断性。,公司由四川广播电视台实际控制，但单一股东控股权较为分散。,公司负责四川省有线电视传输，一省一网，具有区域垄断性，业务用户数量超过1000万户，每年收入维持在30亿左右，但该业务逐渐受到新媒体市场的冲击，发展前景不佳；公司正大力开拓互联网宽带和数据专网业务，增幅较快，但该业务竞争激烈。,公司过去几年盈利稳定，每年EBITDA在20亿左右，相比目前50亿的债务，偿债能力仍然很强。但展望未来，公司主业竞争力下滑压力很大，需要持续关注。,传统电视业务受到新媒体冲击；互联网宽带业务竞争激烈，盈利能力有限。
上海均瑶(集团)有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,王均金(持股36.14%),多领域控股,民营企业,5/10,产业,综合民营企业集团，控股吉祥航空，现阶段整体经营稳定，但长期看投融资风险要持续关注；,,综合,民航运输、百货零售和乘用车销售。其中，民航竞争较充分，但行业需求保持较快增长。百货零售和乘用车销售行业充分竞争，景气度下滑。,民企，所有股东均为王氏家族成员，股权较为分散。,公司近年收入主要来源和增长点来自民航运输，控股上市公司吉祥航空（近期减持6.3%后持股56.81%)。吉祥航空先已开通上海始发航线104条，定价略低于三大航空公司；旗下九元航空则定位廉价航空，近年收入增速在20%以上。公司百货、汽车销售主要位于无锡地区，其中百货门店位于无锡核心商圈，整体收入和毛利率均承压。此外，公司致力金融板块投资，参与设立上海华瑞银行，控股爱建集团。,公司整体负债水平尚可，2019年1季度末资产负债率为67%；同期刚性债务规模为354.7亿元，其中短期债务占比42%；公司投资现金流支出较大，现金流缺口主要依赖债务融资，且母公司积累了较大规模刚性债务。但考虑到集团持有的吉祥航空公司股票几乎均未质押，仍能提供一定额外流动性支持。,持续融资、投资资金链、股权结构、油价波动。
安徽省旅游集团有限责任公司,AA 展望:稳定,上海新世纪资信评估投资服务有限公司,安徽省人民政府国有资产监督管理委员会(持股100%),多领域控股,地方国有企业,5/10,产业,安徽省国资委旗下旅游业务运营主体，负债率略高，盈利能力较弱，利润主要来自营业外收入，经营净现金流尚好，信用资质一般。,,旅游综合,随着我国人民生活水平的提高，我国旅游业务经营环境较好；目前我国房地产调整政策仍较严，房企 经营环境不佳。,安徽省国资委系公司唯一股东和实际控制人，股东背景较好。,公司业务涉及旅游、粮食和商品贸易和房地产几大业余板块。公司拥有2个国家5A级旅游景区，分别为六安天堂寨景区和黄山徽州唐模景区，拥有正在创建的5A级旅游景区2个，分别为旅游景区泾县桃花潭景区、淮北隋唐运河古镇，1个国家3A级旅游景区江南第一漂景区；拥有3家四星级酒店、4家连锁酒店、1家中法合作唐模国际乡村酒店，1家具有开展国际国内业务能力和资质的旅行社。公司粮食业务主要通过其位于安徽省境内主要粮食产区的粮食收购网络，承担中央和省级储备粮管理和最低收购价收购等粮食政策性经营任务，同时开展粮食收储、贸易、加工等自营业务，盈利能力弱。公司少量在建的房地产项目，短期内业务有保障。,公司主业盈利能力弱，利润主要依赖政府补贴。公司负债率略高，其他应收款存一定回收风险。,房地产项目去化压力；在建项目投资压力；清产核资对公司信用质量的影响。
碧桂园控股有限公司,AAA 展望:稳定,-,必胜有限公司(持股43.06%),房地产开发,民营企业,5/10,产业,竞争优势尚可、规模一般的产业公司；对不利经济环境抵抗力尚可；建议按照AA曲线定价，同时结合资金面情况,,房地产开发,2016年9月底开始，各地政府密集出台楼市调控政策，中央经济工作会议和两会多次强调“因城施策”、“住房回归居住属性”，房地产市场景气度进入调整期，各地房地产市场呈分化状态。,公司为香港联合交易所上市企业，碧桂园(港股通)2007.HKS、碧桂园2007.HK，控股股东Concrete Win Limited必胜有限公司持股比例43.74%，实际控制人是杨惠妍女士；股权未被质押、冻结。,民营大型地产公司，合同销售面积全国排名前三，具有一定的品牌效应；地产业务投资激进，连续多年土储大幅增加；全国布局，半数项目集中在三四线，整体平均售价不高，存在一定去化压力；物业以及酒店板块规模尚可，但盈利能力一般。,资产规模很大，但财务杠杆很高，经营激进导致市场认可度一般；刚性债务规模很大，海外负债汇率风险。,资金链连续性、债务压力、销售回款
湖南铁路建设投资有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,湖南轨道交通控股集团有限公司(持股100%),公路与铁路,地方国有企业,5/10,产业,-,,铁路运输,-,-,-,-,-
中国中纺集团有限公司,AA+ 展望:稳定,联合资信评估有限公司,中粮集团有限公司(持股100%),纺织品,中央国有企业,5/10,产业,公司是中粮集团下属棉花产业调控主体，外部支持明显。,,纺织制造,作为维护国家棉花产业安全的主力军和棉花纺织市场调控的参与者，公司拥有完善的棉花市场网络体系，行业竞争优势明显。,公司为中粮集团全资控股子公司，实际控制人为国务院国资委；,公司是中国棉花交易市场发起人之一，进口棉花经营规模位居全国第一；拥有从纺织品初加工到终端服装等制成品经营的完整产业链。根据2018年7月4日公告，公司拟将其持有的下属粮油公司100%股权及油脂公司100%股权通过无偿划转或协议转让的形式划转给中粮集团或其下属公司。如果本次划转完成，公司主营业务将由“粮、棉、油” 三大主业转变为棉花和面料印染两大主业。,公司近几年收入和盈利主要来自纺织原料和纺织印染业务，大部分为棉花贸易业务。毛利率一直维持在5-6%左右。因此主业盈利能力较弱，易受棉花价格波动影响；公司资产负债率常年保持80%左右的高位，财务杠杆水平很高，相比公司10-15亿元左右的EBITDA，自身偿债压力很重。且公司贸易业务往来款项巨大，现金流波动明显，潜在财务风险偏高。,合并范围变化；棉花价格波动较大；贸易业务盈利能力弱；
莱州市国有资产经营有限公司,AA 展望:稳定,联合资信评估有限公司,莱州市国有资产运营中心(持股100%),建筑与工程,地方国有企业,5/10,产业,-,,,-,-,-,-,-
中远海运租赁有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,中远海运发展股份有限公司(持股100%),工业机械,中央国有企业,5/10,产业,公司为中海运期限租赁板块，业务市场化运作，不良率提升；关注监管趋严下，风险不断释放。,,租赁,国内融资租赁行业机构数量快速增长，同质化竞争日趋激烈，在金融强监管、去杠杆的背景之下，融资租赁公司面临较大的转型发展压力。,唯一控股股东为中远海运发展股份有限公司，公司为央企子公司。股东将公司股票全部质押。,中远海运租赁投资资产主要在1-3年期间，但债务结构偏短，融资成本在行业内居中水平；随着汽车金融业务的逐步开展，单笔业务规模降低，业务分散度提高；投资行业和区域也较为分散；但存量业务中光伏和西部地区项目规模相对较大，且民企关联度很高，部分项目租金的回收存在不确定性。截至2018年末，公司应收融资租赁款坏账准备的余额为7.221亿元，融资租赁资产的拨备比率和拨备覆盖率分别为2.68%、289.78%，其他监管指标较好，但是关注风险持续释放。,截至2018年末，公司应收融资租赁款本金合计269.61亿元，逾期率为1.91%，逾期项目主要分布在能源、建设和医疗行业；不良项目应收租赁款本金合计2.49亿元，不良率为0.92%，不良项目大多处于查封并处置房产、股权等处理阶段。资金来源方面，公司债务多元化，债务成本一般，但债务期限结构偏短。公司发展与股东背景有很大关系，未来风险释放。,不良上升
重庆乌江电力有限公司,AA 展望:稳定,中诚信国际信用评级有限责任公司,重庆乌江实业(集团)有限公司(持股100%),电力,地方国有企业,5/10,产业,-,,电力,-,-,-,-,-
湖北中经资本投资发展有限公司,AA+ 展望:稳定,大公国际资信评估有限公司,湖北省联合发展投资集团有限公司(持股79.97%),综合支持服务,地方国有企业,5/10,产业,-,,多元金融,-,-,-,-,-
